Id,SalePrice
1461,120236.11568428943
1462,155352.00795962592
1463,178985.3217962762
1464,199481.0326965459
1465,196034.64625792607
1466,170875.4717175975
1467,170020.4351448334
1468,164741.93672670706
1469,187981.16101167066
1470,121825.41971914089
1471,183669.1501860469
1472,99051.9627064595
1473,95875.12110229718
1474,148199.43689248196
1475,119218.190521054
1476,359307.0013819424
1477,256258.2546988332
1478,319291.3396115155
1479,324055.4348312119
1480,486284.08462395624
1481,338861.582925917
1482,225376.8040919669
1483,170962.1047012843
1484,171060.30326612748
1485,191114.6322305734
1486,191709.4136018347
1487,326390.2140505909
1488,231317.51472021942
1489,195706.57383636912
1490,223445.54152699583
1491,195515.04041869874
1492,88157.67483340576
1493,192104.13938844285
1494,273669.37580646784
1495,281140.4809802383
1496,235507.073010805
1497,172643.22161232005
1498,172490.14944669598
1499,166707.09564818064
1500,160271.00084116712
1501,173738.39538628847
1502,158067.49409977393
1503,287851.82061993115
1504,240624.3451256326
1505,226141.86687188433
1506,187361.76399457856
1507,237914.89092943503
1508,198139.54519761621
1509,168721.487691053
1510,143229.25863491645
1511,141682.83554090053
1512,160984.50176785875
1513,147724.94769668754
1514,134907.16722186987
1515,202456.8391783483
1516,146112.0890069861
1517,157055.16717100836
1518,127493.92878724524
1519,206160.41729546717
1520,132793.85201032012
1521,132590.21864915802
1522,166961.6713336466
1523,113097.86516178607
1524,123135.85203719804
1525,120628.25327928715
1526,111287.19228439586
1527,103390.24681072604
1528,131204.20722936347
1529,157655.11107552852
1530,183278.59453368012
1531,111835.62391094826
1532,96360.30992625092
1533,140693.4770256383
1534,120251.45222569258
1535,151171.0957904557
1536,111256.01653486065
1537,69845.74688467987
1538,137831.6802099806
1539,179815.28488496025
1540,87861.21714873891
1541,149771.29130632745
1542,141163.35432547136
1543,198819.37980585682
1544,78925.663758815
1545,111752.9841444859
1546,141233.3930682036
1547,139551.9082947496
1548,135751.49303740583
1549,121136.61300570799
1550,138382.59718685894
1551,101660.36439391252
1552,139637.26949553716
1553,139320.69058912495
1554,120450.48918827504
1555,161987.87697644712
1556,88565.04416388665
1557,98405.58665695156
1558,98881.9308871695
1559,89504.43753297045
1560,137952.34340280268
1561,115835.85680748186
1562,134523.91655208048
1563,120212.99250859494
1564,154319.0229958195
1565,151441.62505357328
1566,240035.01579493296
1567,78009.15896200915
1568,224714.12509884924
1569,125391.36399786768
1570,142621.62726655032
1571,115948.23366969572
1572,135932.16932592276
1573,240757.88041791104
1574,118061.65904595147
1575,224539.09194494097
1576,245309.11092591367
1577,198469.27322866238
1578,144810.46291508968
1579,135536.79381352692
1580,198699.27479865775
1581,150727.29889487347
1582,132545.59001309256
1583,292259.1015115038
1584,218454.39755681265
1585,139488.2241213092
1586,71232.62867906061
1587,105413.77237171304
1588,147528.6412665416
1589,95098.4753123507
1590,136739.0236160647
1591,95467.55910540822
1592,113675.30223702159
1593,120705.82559645057
1594,144682.99304890545
